St. Vincent and the Grenadines,390.0,109373.0,16.576,7.185,2.021,55239,19379.0,126992.0
Sudan,1879357.5,3.7195349E7,33.931,8.439,4.491,24803718,424586.0,2.7658595E7
Suriname,163820.0,534541.0,17.969,7.253,2.292,180632,86449.0,569069.0
Swaziland,17360.0,1230985.0,30.211,14.267,3.407,967874,45565.0,805000.0
Switzerland,41285.0,7996861.0,10.3,9.0,1.52,2100056,4721981.0,1.0561075E7
Syrian Arab Republic,185180.0,2.2399254E7,24.36,3.828,3.003,9752859,4254047.0,1.298E7
Tanzania,947300.0,4.7783107E7,39.664,8.823,5.287,33690435,176367.0,2.7219283E7
Togo,56790.0,6642928.0,36.832,10.859,4.695,4085866,61590.0,3312239.0
Tonga,750.0,104941.0,26.062,6.069,3.815,80282,30000.0,56000.0
Trinidad and Tobago,5130.0,1337439.0,14.724,9.483,1.799,1219811,286605.0,1883683.0
Tunisia,163610.0,1.07775E7,19.0,6.1,2.17,3634820,1098893.0,1.2843889E7
Turkey,783560.0,7.3997128E7,17.135,5.713,2.06,20842031,1.3859672E7,6.7680547E7
Uganda,241550.0,3.634586E7,43.654,9.534,5.964,30852183,314956.0,1.6356387E7
United Arab Emirates,83600.0,9205651.0,15.069,1.042,1.82,1409938,1967486.0,1.3775252E7
United Kingdom,243610.0,6.3695687E7,12.8,8.9,1.9,11570959,3.3197391E7,7.8329355E7
United States,9831510.0,3.13873685E8,12.6,8.1,1.8805,59297017,1.38072E8,3.04881E8
Uruguay,176220.0,3395253.0,14.571,9.34,2.056,176451,1010953.0,4995459.0
Vanuatu,12190.0,247262.0,26.907,4.791,3.419,184952,5339.0,146084.0
Venezuela,912050.0,2.9954782E7,20.078,5.254,2.417,3339659,7648753.0,3.0569073E7
Vietnam,330951.0,8.87729E7,15.854,5.676,1.768,60660298,1.0191049E7,1.34066E8
Virgin Islands (U.S.),350.0,105275.0,10.9,7.7,1.8,5352,50788.66666666667,10037.5
Zambia,752610.0,1.4075099E7,42.995,10.669,5.731,8503190,82542.0,1.0524676E7
Zimbabwe,390760.0,1.3724317E7,31.594,9.698,3.564,9218075,301650.0,1.2613935E7
